feature,significant,occurrences,auc,weight/importance,wt_low,wt_high,OR,OR_low,OR_high,OR_adj,OR_adj_low,OR_adj_high,Top1CorrFeat,Top1CorrVal,Top2CorrFeat,Top2CorrVal,Top3CorrFeat,Top3CorrVal,Top4CorrFeat,Top4CorrVal,Top5CorrFeat,Top5CorrVal,Top6CorrFeat,Top6CorrVal,Top7CorrFeat,Top7CorrVal,Top8CorrFeat,Top8CorrVal,Top9CorrFeat,Top9CorrVal,Top10CorrFeat,Top10CorrVal
Vital: Wt-latest,True,1677,0.7026758720274355,0.014516585354297014,0.00838568716535618,0.020647483543237848,4.019661291173522,3.1265931505075963,5.1678220088007345,1.0146224626848726,1.0084209455262592,1.0208621175033983,Number of Visits,0.3624717255893568,Diagnosis:9ccs126:Ot up rsp in,0.28206208198931104,Diagnosis:9ccs92:Otitis media,0.23732974455676986,Diagnosis:9ccs10:Immuniz/scrn,0.2187196302184162,Diagnosis:9ccs128:Asthma,0.14860715591671744,Diagnosis:9ccs257:Ot aftercare,0.1373553920177616,Diagnosis:9ccs7:Viral infect,0.13668130666012396,Diagnosis:9ccs125:Bronchitis,0.133705228362892,Diagnosis:9ccs135:Intest infct,0.133421351192687,Diagnosis:9ccs122:Pneumonia,0.11600704674080907
Vital: BMI-avg7to10,True,1342,0.6769550110554577,0.013967047199590538,0.005857721827027979,0.0220763725721531,2.069049581500099,1.6452379618570085,2.6020346417692273,1.0140650421049715,1.0058749118278862,1.022321858838958,Newborn Diagnosis:9ccs191:Amnios dx,0.10415216590962363,Diagnosis:9ccs128:Asthma,0.0869428200172488,Diagnosis:9ccs72:Anxiety dx,0.08481468806065062,Diagnosis:9ccs125:Bronchitis,0.08403627225990956,Newborn Diagnosis:9ccs47:Ot bnign neo,0.07518680248767977,Diagnosis:9ccs95:Oth nerv dx,-0.07320835988441975,Diagnosis:9ccs143:Abdom hernia,0.06825384481606624,Diagnosis:9ccs167:Breast dx,0.06725876584704862,MatDeliveryAge,-0.061874361518260375,Newborn Diagnosis:9ccs223:Birth trauma,-0.05911920864891369
Vital: Wt for Length ZScore-avg16to19,True,1292,0.7179955778168856,0.010623324439230315,0.0055323028909221575,0.015714345987538472,3.1426602649595448,2.4904066162365233,3.9657433756261784,1.0106799522980268,1.0055476343382581,1.0158384656231274,Diagnosis:9ccs214:GI cong anom,-0.07223179603725152,MatDeliveryAge,-0.0713814233078374,Diagnosis:9ccs86:Cataract,-0.06938271820924666,Diagnosis:9ccs143:Abdom hernia,0.06356978976334378,Newborn Diagnosis:9ccs191:Amnios dx,0.06247500747477314,Newborn Diagnosis:9ccs133:Oth low resp,-0.058354961651670915,Diagnosis:9ccs95:Oth nerv dx,-0.05571942171002665,Diagnosis:9ccs246:FUO,0.0555623901576709,Diagnosis:9ccs138:Esophgeal dx,-0.0553460565419555,Diagnosis:9ccs128:Asthma,0.05454698627530608
Vital: Wt for Length ZScore-avg7to10,True,1346,0.6750146654031858,0.010133473008716911,0.0030870807619102674,0.017179865255523556,2.1470121628767846,1.7075597627915107,2.699560699418799,1.0101849905163682,1.00309185070286,1.0173282878826255,Diagnosis:9ccs128:Asthma,0.09576397686647024,Diagnosis:9ccs95:Oth nerv dx,-0.08770127720144195,Newborn Diagnosis:9ccs191:Amnios dx,0.08415763899120426,Diagnosis:9ccs125:Bronchitis,0.08020048470508004,MatDeliveryAge,-0.06905053248979685,Diagnosis:9ccs143:Abdom hernia,0.05775463231055215,Diagnosis:9ccs138:Esophgeal dx,-0.05635982944116437,Newborn Diagnosis:9ccs47:Ot bnign neo,0.054935807498091044,Diagnosis:9ccs167:Breast dx,0.05405667581973009,Diagnosis:9ccs129:Asp pneumon,-0.053384443333964166
Vital: Wt for Len Percentile-gain0to24,True,1392,0.7531925454627499,0.009544196865176274,0.004326397122319447,0.0147619966080331,3.861461505002175,3.0322887606864657,4.91736972676641,1.009589887957985,1.0043357694896693,1.0148714930116813,Diagnosis:9ccs128:Asthma,0.08001858875885029,Diagnosis:9ccs243:Poisn nonmed,0.068072035693237,Diagnosis:9ccs95:Oth nerv dx,-0.06570003460267801,Diagnosis:9ccs214:GI cong anom,-0.06568475733618902,Diagnosis:9ccs246:FUO,0.0620545528182862,Diagnosis:9ccs86:Cataract,-0.06152802317839635,Diagnosis:9ccs133:Oth low resp,0.061102292133096425,Diagnosis:9ccs138:Esophgeal dx,-0.059958450196233574,MatDeliveryAge,-0.059610285513533555,Diagnosis:9ccs209:Ot acq defor,0.0515179383794938
Vital: Wt-avg3to5,True,1344,0.6285140562248995,0.009026813507877911,0.0036058555704139086,0.014447771445341914,1.9882758620689656,1.580013855845668,2.502029263262506,1.009067678055264,1.0036123644886663,1.014552644949345,Newborn Diagnosis:9ccs219:Low birth wt,-0.18749173632524657,Diagnosis:9ccs219:Low birth wt,-0.13953848708901254,Diagnosis:9ccs138:Esophgeal dx,-0.10492399410054812,Newborn Diagnosis:9ccs10:Immuniz/scrn,0.10386569620860361,Newborn Diagnosis:9ccs253:Allergy,-0.09283584231386664,Diagnosis:9ccs155:Other GI dx,-0.08456003325015393,Newborn Diagnosis:9ccs221:Resp distres,-0.08229472323846838,Newborn Diagnosis:9ccs138:Esophgeal dx,-0.08024430495700581,Newborn Diagnosis:9ccs222:Perint jaund,-0.07459081098998743,Newborn Diagnosis:9ccs58:Ot nutrit dx,-0.07311264589798959
MatDeliveryAge,False,1751,0.5293759306890483,0.007504781459394198,0.003820917029355115,0.011188645889433281,1.1047710381203548,0.8812453256485641,1.384993498571206,1.0075330129112061,1.0038282260389026,1.0112514728855537,MatDeliveryAge,1.0,Newborn Diagnosis:9ccs259:Unclassified,0.13156477781332787,Number of Visits,0.107371968725357,Diagnosis:9ccs239:Superfic inj,0.07954385556462876,Diagnosis:9ccs86:Cataract,0.07199702677734006,Diagnosis:9ccs70:Schizo/rl dx,0.06818509092630642,Diagnosis:9ccs115:Aneurysm,0.06803091610323435,Diagnosis:9ccs123:Influenza,0.06194914592517243,Diagnosis:9ccs74:Ot mentl cnd,0.061792200684652396,Diagnosis:9ccs90:Eye infectn,0.05946044034884312
Vital: Wt-avg16to19,True,1323,0.708203600920536,0.007447429173123192,0.002431035588998793,0.01246382275724759,3.0403002309468823,2.409869489853385,3.835653977617696,1.007475230246422,1.0024339929520156,1.0125418199068068,Diagnosis:9ccs143:Abdom hernia,0.07736462756952434,Newborn Diagnosis:9ccs219:Low birth wt,-0.07434145246065754,Diagnosis:9ccs120:Hemmorhoids,0.06964340080296401,Diagnosis:9ccs2618:E Codes: Other specified and classifiable,0.06964340080296401,Diagnosis:9ccs147:Anal/rectal,0.06864266028028851,Diagnosis:9ccs208:Acq foot def,0.06400185905615066,Diagnosis:9ccs95:Oth nerv dx,-0.06362225456872807,Diagnosis:9ccs86:Cataract,-0.06306570116573157,Diagnosis:9ccs128:Asthma,0.06019579140690905,Diagnosis:9ccs138:Esophgeal dx,-0.05845073308868836
Vital: Wt for Length Zscore-avg10to13,True,1403,0.6697125580975587,0.005993672112456943,0.002519058158496631,0.009468286066417256,2.479835036939581,1.9696718620845113,3.122135178356565,1.006011670105208,1.0025222336513568,1.0095132520919528,Diagnosis:9ccs128:Asthma,0.0924328633478158,Newborn Diagnosis:9ccs191:Amnios dx,0.08920216816965207,MatDeliveryAge,-0.07807472050280073,Diagnosis:9ccs95:Oth nerv dx,-0.07541812230771189,Diagnosis:9ccs138:Esophgeal dx,-0.06678625235211903,Newborn Diagnosis:9ccs47:Ot bnign neo,0.06418699631955999,Diagnosis:9ccs143:Abdom hernia,0.06397519936691483,Diagnosis:9ccs129:Asp pneumon,-0.05923596892037208,Diagnosis:9ccs155:Other GI dx,-0.058820461437738183,Diagnosis:9ccs55:Fluid/elc dx,-0.05822928591304058
Vital: Wt for Length ZScore-avg13to16,True,1285,0.6726907630522088,0.005798382085044387,0.0015664042298768983,0.010030359940211876,2.2866932621943756,1.8176896237306879,2.87671008685908,1.0058152252410615,1.0015676316817943,1.0100808326123512,Diagnosis:9ccs143:Abdom hernia,0.08126107369432643,Diagnosis:9ccs214:GI cong anom,-0.07592859151446645,Diagnosis:9ccs128:Asthma,0.06902745877483644,Lab:323825 STREP SCREEN THROAT - Sunrise,-0.06899593704045563,Diagnosis:9ccs86:Cataract,-0.06763309988146705,Diagnosis:9ccs136:Teeth dx,-0.06630775647726458,Diagnosis:9ccs95:Oth nerv dx,-0.06527930282717254,MatDeliveryAge,-0.06405748109644252,Diagnosis:9ccs147:Anal/rectal,0.06282049566359232,Diagnosis:9ccs138:Esophgeal dx,-0.061796062356426096
Vital: Wt for Len Percentile-avg10to13,True,1404,0.6689228825414016,0.00578716739299289,0.0026828120492345345,0.008891522736751246,2.6842252994011977,2.130813318070324,3.3813686993801944,1.0058039453963,1.002686414009888,1.0089311697453465,Diagnosis:9ccs128:Asthma,0.10515876504768866,MatDeliveryAge,-0.07706942194561021,Newborn Diagnosis:9ccs191:Amnios dx,0.07386193514703389,Diagnosis:9ccs95:Oth nerv dx,-0.07082753082646048,Diagnosis:9ccs143:Abdom hernia,0.06939007404642794,Newborn Diagnosis:9ccs223:Birth trauma,-0.06301517311247723,Diagnosis:9ccs125:Bronchitis,0.05615837712105707,Diagnosis:9ccs136:Teeth dx,-0.05537021588394814,Diagnosis:9ccs138:Esophgeal dx,-0.05489704991182265,Newborn Diagnosis:9ccs47:Ot bnign neo,0.05203506182823167
Vital: Wt-avg5to7,True,1369,0.6131266639592076,0.005062642030506216,0.001180387243243188,0.008944896817769244,2.215632383432181,1.761331737164424,2.7871108860029006,1.0050754788562797,1.0011810841744544,1.0089850219564855,Newborn Diagnosis:9ccs219:Low birth wt,-0.11004221482619876,Diagnosis:9ccs138:Esophgeal dx,-0.10035670808706353,Diagnosis:9ccs219:Low birth wt,-0.08954006241726585,Diagnosis:9ccs95:Oth nerv dx,-0.08423405023525497,Diagnosis:9ccs128:Asthma,0.07965815019855423,Newborn Diagnosis:9ccs221:Resp distres,-0.07148678184467602,Newborn Diagnosis:9ccs138:Esophgeal dx,-0.0700498968879642,Diagnosis:9ccs92:Otitis media,0.0656331377267615,Diagnosis:9ccs204:Ot joint dx,0.05680920483066556,Newborn Diagnosis:9ccs222:Perint jaund,-0.05583334926417729
Vital: Wt for Length ZScore-avg3to5,True,1321,0.6386219033437119,0.00495306428778594,0.001773400233947552,0.008132728341624328,1.681318111053451,1.3372331768566783,2.1139399167474577,1.0049653509879348,1.0017749736380968,1.0081658888108356,Diagnosis:9ccs138:Esophgeal dx,-0.10271335482408851,Diagnosis:9ccs59:Anemia,0.06981643987850197,Diagnosis:9ccs214:GI cong anom,-0.06314857900814479,Diagnosis:9ccs123:Influenza,-0.06239166004479812,Diagnosis:9ccs74:Ot mentl cnd,-0.06207001125799458,Diagnosis:9ccs95:Oth nerv dx,-0.06182485523318484,Newborn Diagnosis:9ccs166:Oth male gen,0.059915487782945955,Diagnosis:9ccs52:Nutrit defic,-0.059839227314246686,Diagnosis:9ccs2611:E Codes: Natural/environment,0.057381045688234884,Diagnosis:9ccs211:Ot conn tiss,-0.05718549890476561
Vital: Temp-latest,False,1676,0.4952393845043094,0.004415833404128698,0.0012549874888201163,0.007576679319437279,1.1569976400737165,0.9213748047220462,1.4528762152769976,1.004425597563465,1.001255775315155,1.007605454982941,Diagnosis:9ccs83:Epilepsy/cnv,0.0832092366907433,Diagnosis:9ccs124:Tonsillitis,0.0811962217198959,Diagnosis:9ccs154:Gastroent,-0.07935759651459136,Lab:323854 CULTURE FECES - Sunrise,-0.07476976481581174,Lab:306854 PLATELET COUNT - Sunrise,0.07401682429668943,Diagnosis:9ccs238:Complic proc,0.06876618884700403,Diagnosis:9ccs92:Otitis media,0.06447657351494711,Diagnosis:9ccs126:Ot up rsp in,0.061547438429761354,Diagnosis:9ccs151:Oth liver dx,-0.06153339418191036,Diagnosis:9ccs239:Superfic inj,-0.058591767610519686
Vital: Ht Percentile-gain13to19,False,832,0.4762420468390415,0.004331571130456995,0.0003765777826624135,0.008286564478251577,1.171705060194269,0.8935441977720714,1.536457571441875,1.0043409659445568,1.000376648696977,1.0083209930862649,Diagnosis:9ccs244:Other injury,0.06802838631135957,Newborn Diagnosis:9ccs191:Amnios dx,-0.06665259568667191,Newborn Diagnosis:9ccs223:Birth trauma,-0.06624891711860478,Diagnosis:9ccs259:Unclassified,0.06373739003398605,Diagnosis:9ccs98:HTN,0.06104286832626508,Diagnosis:9ccs230:Fx leg,0.05796938893498676,Diagnosis:9ccs254:Rehab,0.054957570339576454,Diagnosis:10ccs58:Ot nutrit dx,-0.05104325997528356,Diagnosis:9ccs250:Nausea/vomit,0.04925063416650873,Diagnosis:9ccs75:Hx mental dx,-0.04913255319280464
Vital: Wt-gain13to19,True,1448,0.587811921844682,0.003794663667797908,0.0014441107487090689,0.006145216586886747,1.720072175211548,1.3692604812133704,2.160763659311324,1.0038018725194788,1.0014451539787559,1.006164137167503,Diagnosis:9ccs130:Pleurisy,0.075609208149699,Diagnosis:9ccs243:Poisn nonmed,0.06474940782098329,Diagnosis:9ccs230:Fx leg,0.05709271714765572,Diagnosis:9ccs259:Unclassified,0.050700233375293176,Diagnosis:9ccs223:Birth trauma,-0.050623112028714466,Diagnosis:9ccs235:Opn wnd head,0.04886678667208138,Diagnosis:9ccs5:HIV infectn,-0.0486036339910127,Diagnosis:9ccs98:HTN,0.048551597863722824,Newborn Diagnosis:9ccs239:Superfic inj,-0.04739364209245554,Newborn Diagnosis:9ccs104:Oth heart dx,-0.04739364209245554
Vital: Wt-avg1to3,True,1388,0.5803212851405622,0.003558087806043303,0.0007271082811471305,0.0063890673309394755,1.9471089197669207,1.5487077491052428,2.4479977888831956,1.0035644253147027,1.0007273726884538,1.0064095209582844,Newborn Diagnosis:9ccs219:Low birth wt,-0.30072236348270337,Diagnosis:9ccs219:Low birth wt,-0.23314391096503992,Newborn Diagnosis:9ccs221:Resp distres,-0.12158475826083873,Newborn Diagnosis:9ccs10:Immuniz/scrn,0.1173661167876116,Newborn Diagnosis:9ccs222:Perint jaund,-0.11554052089110338,Newborn Diagnosis:9ccs253:Allergy,-0.10379795553795407,Lab:297262 HEMOGLOBIN (HEMOCUE),0.10263143869158647,Diagnosis:9ccs138:Esophgeal dx,-0.09312593930024679,Newborn Diagnosis:9ccs256:Exam/eval,-0.07846652881138447,Diagnosis:9ccs159:UTI,0.07121470746924795
Vital: BMI-avg10to13,True,1400,0.6480754478588511,0.0035181694734549695,0.00043216189239323475,0.006604177054516705,2.301354566198961,1.8295297548420768,2.894860182157559,1.003524365495765,1.0004322552877973,1.0066260327182008,Diagnosis:9ccs128:Asthma,0.10093257932645679,Newborn Diagnosis:9ccs191:Amnios dx,0.09402146317748244,Diagnosis:9ccs246:FUO,-0.07908577586116902,MatDeliveryAge,-0.0773903587753995,Diagnosis:9ccs95:Oth nerv dx,-0.07050545026970576,Newborn Diagnosis:9ccs47:Ot bnign neo,0.06867081322002605,Diagnosis:9ccs143:Abdom hernia,0.06830918329764357,Newborn Diagnosis:9ccs223:Birth trauma,-0.05959566320926592,Diagnosis:9ccs138:Esophgeal dx,-0.05829751205370286,Newborn Diagnosis:9ccs95:Oth nerv dx,0.05478018854806366
Vital: Wt for Len Percentile-avg19to24,True,1398,0.7667524028699066,0.0030703242029396643,0.00010352719994081864,0.0060371212059385105,3.883635752688172,3.0485113133655983,4.947538358618193,1.0030750424759354,1.0001035325590664,1.006055381349906,Diagnosis:9ccs128:Asthma,0.08197719826680216,Diagnosis:9ccs243:Poisn nonmed,0.0692549433970295,Diagnosis:9ccs214:GI cong anom,-0.06551823470581293,Diagnosis:9ccs95:Oth nerv dx,-0.06372174255961166,Diagnosis:9ccs246:FUO,0.06184234123220809,Diagnosis:9ccs86:Cataract,-0.061360407560130954,Diagnosis:9ccs138:Esophgeal dx,-0.06077575564050647,Diagnosis:9ccs133:Oth low resp,0.06002499546157297,MatDeliveryAge,-0.05442233771292263,Newborn Diagnosis:9ccs191:Amnios dx,0.05346436046772583
Vital: HR-avg3to5,False,273,0.48567302919543337,-0.0028094112341994575,-0.008288255846241,0.002669433377842086,0.6490359830910403,0.3969007998179631,1.061342550935036,0.9971945314684534,0.991745997048668,1.0026729994875796,Diagnosis:9ccs70:Schizo/rl dx,-0.10173502370404254,Diagnosis:9ccs9:Sexual Infxs,0.09066182781257434,Diagnosis:9ccs44:Neoplsm unsp,-0.08871689962080619,Diagnosis:9ccs230:Fx leg,-0.08111954201314574,Diagnosis:9ccs224:Ot perint dx,0.07708837027714523,Number of Visits,0.06743537348570212,Diagnosis:9ccs135:Intest infct,0.06429851695930557,Diagnosis:9ccs141:Ot dx stomch,0.06276352817429394,Diagnosis:9ccs125:Bronchitis,0.06044625793404763,Diagnosis:9ccs143:Abdom hernia,0.05854132529453219
Vital: Wt Percentile-latest,True,1034,0.695072424529579,0.0027898092223725816,3.732345919714138e-05,0.005542294985548021,2.653198653198653,2.1042944673749817,3.345284228265153,1.0027937043615107,1.000037324155726,1.0055576819155694,Diagnosis:9ccs128:Asthma,0.09116607706064206,Diagnosis:9ccs136:Teeth dx,-0.06958262149492594,Diagnosis:9ccs154:Gastroent,-0.06822492339207134,Diagnosis:9ccs238:Complic proc,-0.06671571130502425,Newborn Diagnosis:9ccs253:Allergy,-0.06467783597580685,Lab:306854 PLATELET COUNT - Sunrise,-0.061590677718852495,Diagnosis:9ccs145:Int obstruct,-0.06076406717314272,Diagnosis:9ccs59:Anemia,-0.0574872846915139,Newborn Diagnosis:9ccs191:Amnios dx,0.0573372742890715,Newborn Diagnosis:9ccs138:Esophgeal dx,-0.05715686919983273
Diagnosis:9ccs256:Exam/eval,False,141,0.5024367131447137,-0.0027325114502084074,-0.00806138799703482,0.0025963650966180063,0.785024154589372,0.5048370852587747,1.2207164277023501,0.9972712184610891,0.9919710178540052,1.0025997385714345,Diagnosis:9ccs256:Exam/eval,0.9999999999999998,Diagnosis:9ccs133:Oth low resp,0.18394862654785926,Number of Visits,0.14820540601987475,Diagnosis:9ccs155:Other GI dx,0.13998298732544273,Diagnosis:9ccs200:Oth skin dx,0.1396293858042831,Diagnosis:9ccs154:Gastroent,0.13768602229549778,Diagnosis:9ccs239:Superfic inj,0.12725349823663631,Diagnosis:9ccs253:Allergy,0.11751763363594851,Diagnosis:9ccs232:Sprain,0.11426769707068893,Diagnosis:9ccs258:Other screen,0.1024540466382605
