icd |10hcchccesrd
C153 C154 C155 C158 C159 C160 C161 C162 C163 C164 C165 C166 C168 C169 C170 C171 C172 C173 C178 C179 C220 C221 C222 C223 C224 C227 C228 C229 C23 C240 C241 C248 C249 C250 C251 C252 C253 C254 C257 C258 C259 C33 C3400 C3401 C3402 C3410 C3411 C3412 C342 C3430 C3431 C3432 C3480 C3481 C3482 C3490 C3491 C3492 C384 C450 C451 C452 C457 C459 C480 C481 C482 C488 C9000 C9001 C9002 C9010 C9011 C9012 C9020 C9021 C9022 C9210 C9211 C9212 C9220 C9221 C9222 C9230 C9231 C9232 C9290 C9291 C9292 C92Z0 C92Z1 C92Z2 C9310 C9311 C9312 C9330 C9331 C9332 C9390 C9391 C9392 C93Z0 C93Z1 C93Z2 C9430 C9431 C9432 C9480 C9481 C9482 |10hcc9:Lung and Other Severe Cancers
C4000 C4001 C4002 C4010 C4011 C4012 C4020 C4021 C4022 C4030 C4031 C4032 C4080 C4081 C4082 C4090 C4091 C4092 C410 C411 C412 C413 C414 C419 C460 C461 C462 C463 C464 C4650 C4651 C4652 C467 C469 C470 C4710 C4711 C4712 C4720 C4721 C4722 C473 C474 C475 C476 C478 C479 C490 C4910 C4911 C4912 C4920 C4921 C4922 C493 C494 C495 C496 C498 C499 C561 C562 C569 C5700 C5701 C5702 C5710 C5711 C5712 C5720 C5721 C5722 C573 C574 C58 C700 C701 C709 C710 C711 C712 C713 C714 C715 C716 C717 C718 C719 C720 C721 C7220 C7221 C7222 C7230 C7231 C7232 C7240 C7241 C7242 C7250 C7259 C729 C7400 C7401 C7402 C7410 C7411 C7412 C7490 C7491 C7492 C751 C752 C753 C773 C779 C792 C7981 C7982 C8100 C8101 C8102 C8103 C8104 C8105 C8106 C8107 C8108 C8109 C8110 C8111 C8112 C8113 C8114 C8115 C8116 C8117 C8118 C8119 C8120 C8121 C8122 C8123 C8124 C8125 C8126 C8127 C8128 C8129 C8130 C8131 C8132 C8133 C8134 C8135 C8136 C8137 C8138 C8139 C8140 C8141 C8142 C8143 C8144 C8145 C8146 C8147 C8148 C8149 C8170 C8171 C8172 C8173 C8174 C8175 C8176 C8177 C8178 C8179 C8190 C8191 C8192 C8193 C8194 C8195 C8196 C8197 C8198 C8199 C8200 C8201 C8202 C8203 C8204 C8205 C8206 C8207 C8208 C8209 C8210 C8211 C8212 C8213 C8214 C8215 C8216 C8217 C8218 C8219 C8220 C8221 C8222 C8223 C8224 C8225 C8226 C8227 C8228 C8229 C8230 C8231 C8232 C8233 C8234 C8235 C8236 C8237 C8238 C8239 C8240 C8241 C8242 C8243 C8244 C8245 C8246 C8247 C8248 C8249 C8250 C8251 C8252 C8253 C8254 C8255 C8256 C8257 C8258 C8259 C8260 C8261 C8262 C8263 C8264 C8265 C8266 C8267 C8268 C8269 C8280 C8281 C8282 C8283 C8284 C8285 C8286 C8287 C8288 C8289 C8290 C8291 C8292 C8293 C8294 C8295 C8296 C8297 C8298 C8299 C8300 C8301 C8302 C8303 C8304 C8305 C8306 C8307 C8308 C8309 C8310 C8311 C8312 C8313 C8314 C8315 C8316 C8317 C8318 C8319 C8330 C8331 C8332 C8333 C8334 C8335 C8336 C8337 C8338 C8339 C8350 C8351 C8352 C8353 C8354 C8355 C8356 C8357 C8358 C8359 C8370 C8371 C8372 C8373 C8374 C8375 C8376 C8377 C8378 C8379 C8380 C8381 C8382 C8383 C8384 C8385 C8386 C8387 C8388 C8389 C8390 C8391 C8392 C8393 C8394 C8395 C8396 C8397 C8398 C8399 C8400 C8401 C8402 C8403 C8404 C8405 C8406 C8407 C8408 C8409 C8410 C8411 C8412 C8413 C8414 C8415 C8416 C8417 C8418 C8419 C8440 C8441 C8442 C8443 C8444 C8445 C8446 C8447 C8448 C8449 C8460 C8461 C8462 C8463 C8464 C8465 C8466 C8467 C8468 C8469 C8470 C8471 C8472 C8473 C8474 C8475 C8476 C8477 C8478 C8479 C8490 C8491 C8492 C8493 C8494 C8495 C8496 C8497 C8498 C8499 C84A0 C84A1 C84A2 C84A3 C84A4 C84A5 C84A6 C84A7 C84A8 C84A9 C84Z0 C84Z1 C84Z2 C84Z3 C84Z4 C84Z5 C84Z6 C84Z7 C84Z8 C84Z9 C8510 C8511 C8512 C8513 C8514 C8515 C8516 C8517 C8518 C8519 C8520 C8521 C8522 C8523 C8524 C8525 C8526 C8527 C8528 C8529 C8580 C8581 C8582 C8583 C8584 C8585 C8586 C8587 C8588 C8589 C8590 C8591 C8592 C8593 C8594 C8595 C8596 C8597 C8598 C8599 C860 C861 C862 C863 C864 C865 C866 C882 C883 C884 C888 C889 C9030 C9031 C9032 C9110 C9111 C9112 C9130 C9131 C9132 C9140 C9141 C9142 C9150 C9151 C9152 C9160 C9161 C9162 C9190 C9191 C9192 C91A0 C91A1 C91A2 C91Z0 C91Z1 C91Z2 C9510 C9511 C9512 C9590 C9591 C9592 C960 C962 C964 C965 C966 C969 C96A C96Z |10hcc10:Lymphoma and Other Cancers
C430 C4310 C4311 C4312 C4320 C4321 C4322 C4330 C4331 C4339 C434 C4351 C4352 C4359 C4360 C4361 C4362 C4370 C4371 C4372 C438 C439 C4A0 C4A10 C4A11 C4A12 C4A20 C4A21 C4A22 C4A30 C4A31 C4A39 C4A4 C4A51 C4A52 C4A59 C4A60 C4A61 C4A62 C4A70 C4A71 C4A72 C4A8 C4A9 C50011 C50012 C50019 C50021 C50022 C50029 C50111 C50112 C50119 C50121 C50122 C50129 C50211 C50212 C50219 C50221 C50222 C50229 C50311 C50312 C50319 C50321 C50322 C50329 C50411 C50412 C50419 C50421 C50422 C50429 C50511 C50512 C50519 C50521 C50522 C50529 C50611 C50612 C50619 C50621 C50622 C50629 C50811 C50812 C50819 C50821 C50822 C50829 C50911 C50912 C50919 C50921 C50922 C50929 C540 C541 C542 C543 C548 C549 C55 C600 C601 C602 C608 C609 C61 C6200 C6201 C6202 C6210 C6211 C6212 C6290 C6291 C6292 C6300 C6301 C6302 C6310 C6311 C6312 C632 C637 C638 C639 C6900 C6901 C6902 C6910 C6911 C6912 C6920 C6921 C6922 C6930 C6931 C6932 C6940 C6941 C6942 C6950 C6951 C6952 C6960 C6961 C6962 C6980 C6981 C6982 C6990 C6991 C6992 C73 C750 C754 C755 C758 C759 C760 C761 C762 C763 C7640 C7641 C7642 C7650 C7651 C7652 C768 C7A00 C7A010 C7A011 C7A012 C7A019 C7A020 C7A021 C7A022 C7A023 C7A024 C7A025 C7A026 C7A029 C7A090 C7A091 C7A092 C7A093 C7A094 C7A095 C7A096 C7A098 C7A1 C7A8 C801 C802 D030 D0310 D0311 D0312 D0320 D0321 D0322 D0330 D0339 D034 D0351 D0352 D0359 D0360 D0361 D0362 D0370 D0371 D0372 D038 D039 D1802 D320 D321 D329 D330 D331 D332 D333 D334 D337 D339 D352 D353 D354 D420 D421 D429 D430 D431 D432 D433 D434 D438 D439 D443 D444 D445 D446 D447 D496 E340 Q8500 Q8501 Q8502 Q8503 Q8509 Q851 Q858 Q859 |10hcc12:Breast, Prostate, and Other Cancers and Tumors
C770 C771 C772 C774 C775 C778 C7800 C7801 C7802 C781 C782 C7830 C7839 C784 C785 C786 C787 C7880 C7889 C7900 C7901 C7902 C7910 C7911 C7919 C7931 C7932 C7940 C7949 C7951 C7952 C7960 C7961 C7962 C7970 C7971 C7972 C7989 C799 C7B00 C7B01 C7B02 C7B03 C7B04 C7B09 C7B1 C7B8 C800 C9100 C9101 C9102 C9200 C9201 C9202 C9240 C9241 C9242 C9250 C9251 C9252 C9260 C9261 C9262 C92A0 C92A1 C92A2 C9300 C9301 C9302 C9400 C9401 C9402 C9420 C9421 C9422 C9440 C9441 C9442 C9500 C9501 C9502 |10hcc8:Metastatic Cancer and Acute Leukemia
C946 D45 D471 D473 D479 D47Z1 D47Z9 D550 D551 D552 D553 D558 D559 D560 D561 D562 D564 D565 D568 D573 D580 D581 D582 D588 D589 D640 D641 D642 D643 D65 D680 D681 D682 D68311 D68312 D68318 D6832 D684 D6851 D6852 D6859 D6861 D6862 D6869 D688 D689 D690 D691 D692 D693 D6941 D6942 D6949 D696 D698 D699 D7582 |10hcc48:Coagulation Defects and Other Specified Hematological Disorders
D460 D461 D4620 D4621 D4622 D464 D469 D46A D46B D46C D46Z D474 D5700 D5701 D5702 D571 D5720 D57211 D57212 D57219 D5740 D57411 D57412 D57419 D5780 D57811 D57812 D57819 D590 D591 D592 D593 D594 D595 D596 D598 D599 D600 D601 D608 D609 D6101 D6109 D611 D612 D613 D6182 D6189 D619 D66 D67 D7581 |10hcc46:Severe Hematological Disorders
D5701 D5702 |10hccrx98
D61810 D61811 D61818 D700 D701 D702 D703 D704 D708 D709 D71 D720 D761 D762 D763 D800 D801 D802 D803 D804 D805 D806 D807 D808 D809 D810 D811 D812 D813 D814 D815 D816 D817 D8189 D819 D820 D821 D822 D823 D824 D828 D829 D830 D831 D832 D838 D839 D840 D848 D849 D893 D89810 D89811 D89812 D89813 D8982 D8989 D899 |10hcc47:Disorders of Immunity
D8682 E0840 E0842 E0940 E0942 E1040 E1042 E1140 E1142 E1340 E1342 G130 G131 G600 G601 G602 G603 G608 G609 G610 G611 G6181 G6189 G619 G620 G621 G622 G6281 G6282 G6289 G629 G63 G64 G650 G651 G652 G7000 G7001 G701 G702 G7080 G7081 G7089 G709 G7112 G7113 G7114 G7119 G713 G718 G719 G720 G721 G722 G723 G7241 G7249 G7281 G7289 G729 G731 G733 G737 G9001 G9009 G902 G904 G9050 G90511 G90512 G90513 G90519 G90521 G90522 G90523 G90529 G9059 G908 G909 G990 M0540 M05411 M05412 M05419 M05421 M05422 M05429 M05431 M05432 M05439 M05441 M05442 M05449 M05451 M05452 M05459 M05461 M05462 M05469 M05471 M05472 M05479 M0549 M0550 M05511 M05512 M05519 M05521 M05522 M05529 M05531 M05532 M05539 M05541 M05542 M05549 M05551 M05552 M05559 M05561 M05562 M05569 M05571 M05572 M05579 M0559 M3302 M3312 M3322 M3392 M3482 M3483 M3503 |10hcc75:Myasthenia Gravis/Myoneural Disorders,  Inflammatory and Toxic Neuropathy
E000 E001 E002 E009 E010 E011 E012 E018 E02 E030 E031 E032 E033 E034 E038 E039 E040 E041 E042 E048 E049 E0500 E0501 E0510 E0511 E0520 E0521 E0530 E0531 E0540 E0541 E0580 E0581 E0590 E0591 E060 E061 E062 E063 E064 E065 E069 E070 E071 E0789 E079 E890 |10hccrx42
E0800 E0801 E0810 E0811 E08641 E0900 E0901 E0910 E0911 E09641 E1010 E1011 E10641 E1100 E1101 E11641 E1300 E1301 E1310 E1311 E13641 |10hcc17:Diabetes with Acute Complications
E0821 E0822 E0829 E08311 E08319 E08321 E08329 E08331 E08339 E08341 E08349 E08351 E08359 E0836 E0839 E0840 E0841 E0842 E0843 E0844 E0849 E0851 E0852 E0859 E08610 E08618 E08620 E08621 E08622 E08628 E08630 E08638 E08649 E0865 E0869 E088 E0921 E0922 E0929 E09311 E09319 E09321 E09329 E09331 E09339 E09341 E09349 E09351 E09359 E0936 E0939 E0940 E0941 E0942 E0943 E0944 E0949 E0951 E0952 E0959 E09610 E09618 E09620 E09621 E09622 E09628 E09630 E09638 E09649 E0965 E0969 E098 E1021 E1022 E1029 E10311 E10319 E10321 E10329 E10331 E10339 E10341 E10349 E10351 E10359 E1036 E1039 E1040 E1041 E1042 E1043 E1044 E1049 E1051 E1052 E1059 E10610 E10618 E10620 E10621 E10622 E10628 E10630 E10638 E10649 E1065 E1069 E108 E1121 E1122 E1129 E11311 E11319 E11321 E11329 E11331 E11339 E11341 E11349 E11351 E11359 E1136 E1139 E1140 E1141 E1142 E1143 E1144 E1149 E1151 E1152 E1159 E11610 E11618 E11620 E11621 E11622 E11628 E11630 E11638 E11649 E1165 E1169 E118 E1321 E1322 E1329 E13311 E13319 E13321 E13329 E13331 E13339 E13341 E13349 E13351 E13359 E1336 E1339 E1340 E1341 E1342 E1343 E1344 E1349 E1351 E1352 E1359 E13610 E13618 E13620 E13621 E13622 E13628 E13630 E13638 E13649 E1365 E1369 E138 |10hcc18:Diabetes with Chronic Complications
