icd |9hcchcc2013
522 5314 5474 32302 32342 32352 32363 32372 32382 34120 34121 34122 |9hccrx72
7022 7023 7032 7033 7044 7054 57140 57141 57142 57149 |9hcc27:End-Stage Liver Disease
786 5800 5804 58081 58089 5809 5810 5811 5812 5813 58181 58189 5819 5820 5821 5822 5824 58281 58289 5829 5830 5831 5832 5834 5836 5837 58381 58389 5839 |9hcc132
9487 430 431 4320 4321 4329 |9hcc95
993 6960 |9hccrx40
118 |9hccrx6
135 4940 4941 4950 4951 4952 4953 4954 4955 4956 4957 4958 4959 500 501 502 503 504 505 5060 5061 5062 5063 5064 5069 5080 5081 5082 5088 5089 515 5160 5161 5162 51630 51631 51632 51633 51634 51635 51636 51637 5164 5165 51661 51662 51663 51664 51669 5168 5169 5171 5172 5178 5183 5186 |9hccrx112
1361 4460 4461 44620 44621 44629 4463 4464 4465 4466 4467 7100 7101 7102 7103 7104 7105 7108 7109 7140 7141 7142 71430 71431 71432 71433 7144 71481 71489 7149 7200 7201 7202 72081 72089 7209 725 |9hcc38
1410 1411 1412 1413 1414 1415 1416 1418 1419 1420 1421 1422 1428 1429 1430 1431 1438 1439 1440 1441 1448 1449 1450 1451 1452 1453 1454 1455 1456 1458 1459 1460 1461 1462 1463 1464 1465 1466 1467 1468 1469 1470 1471 1472 1473 1478 1479 1480 1481 1482 1483 1488 1489 1490 1491 1498 1499 1600 1601 1602 1603 1604 1605 1608 1609 1610 1611 1612 1613 1618 1619 1640 1641 1642 1643 1648 1649 1650 1658 1659 1700 1701 1702 1703 1704 1705 1706 1707 1708 1709 1710 1712 1713 1714 1715 1716 1717 1718 1719 1760 1761 1762 1763 1764 1765 1768 1769 181 1830 1832 1833 1834 1835 1838 1839 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1928 1929 1940 1943 1944 20000 20001 20002 20003 20004 20005 20006 20007 20008 20010 20011 20012 20013 20014 20015 20016 20017 20018 20020 20021 20022 20023 20024 20025 20026 20027 20028 20030 20031 20032 20033 20034 20035 20036 20037 20038 20040 20041 20042 20043 20044 20045 20046 20047 20048 20050 20051 20052 20053 20054 20055 20056 20057 20058 20060 20061 20062 20063 20064 20065 20066 20067 20068 20070 20071 20072 20073 20074 20075 20076 20077 20078 20080 20081 20082 20083 20084 20085 20086 20087 20088 20100 20101 20102 20103 20104 20105 20106 20107 20108 20110 20111 20112 20113 20114 20115 20116 20117 20118 20120 20121 20122 20123 20124 20125 20126 20127 20128 20140 20141 20142 20143 20144 20145 20146 20147 20148 20150 20151 20152 20153 20154 20155 20156 20157 20158 20160 20161 20162 20163 20164 20165 20166 20167 20168 20170 20171 20172 20173 20174 20175 20176 20177 20178 20190 20191 20192 20193 20194 20195 20196 20197 20198 20200 20201 20202 20203 20204 20205 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20220 20221 20222 20223 20224 20225 20226 20227 20228 20230 20231 20232 20233 20234 20235 20236 20237 20238 20240 20241 20242 20243 20244 20245 20246 20247 20248 20250 20251 20252 20253 20254 20255 20256 20257 20258 20260 20261 20262 20263 20264 20265 20266 20267 20268 20270 20271 20272 20273 20274 20275 20276 20277 20278 20280 20281 20282 20283 20284 20285 20286 20287 20288 20290 20291 20292 20293 20294 20295 20296 20297 20298 20300 20301 20302 20310 20311 20312 20380 20381 20382 20410 20411 20412 20420 20421 20422 20480 20481 20482 20490 20491 20492 20810 20811 20812 20820 20821 20822 20880 20881 20882 20890 20891 20892 |9hcc9:Lung and Other Severe Cancers
1500 1501 1502 1503 1504 1505 1508 1509 1510 1511 1512 1513 1514 1515 1516 1518 1519 1520 1521 1522 1523 1528 1529 1550 1551 1552 1560 1561 1562 1568 1569 1570 1571 1572 1573 1574 1578 1579 1580 1588 1589 1620 1622 1623 1624 1625 1628 1629 1630 1631 1638 1639 20510 20511 20512 20520 20521 20522 20530 20531 20532 20580 20581 20582 20590 20591 20592 20610 20611 20612 20620 20621 20622 20680 20681 20682 20690 20691 20692 20710 20711 20712 20720 20721 20722 20780 20781 20782 |9hcc8:Metastatic Cancer and Acute Leukemia
1530 1531 1532 1533 1534 1535 1536 1537 1538 1539 1540 1541 1542 1543 1548 1590 1591 1598 1599 1720 1721 1722 1723 1724 1725 1726 1727 1728 1729 1740 1741 1742 1743 1744 1745 1746 1748 1749 1750 1759 179 1800 1801 1808 1809 1820 1821 1828 1840 1841 1842 1843 1844 1848 1849 185 1860 1869 1871 1872 1873 1874 1875 1876 1877 1878 1879 1880 1881 1882 1883 1884 1885 1886 1887 1888 1889 1890 1891 1892 1893 1894 1898 1899 1900 1901 1902 1903 1904 1905 1906 1907 1908 1909 193 1941 1945 1946 1948 1949 1950 1951 1952 1953 1954 1955 1958 1991 1992 20900 20901 20902 20903 20910 20911 20912 20913 20914 20915 20916 20917 20920 20921 20922 20923 20924 20925 20926 20927 20929 20930 20931 20932 20933 20934 20935 20936 2250 2251 2252 2253 2254 2258 2259 2273 2274 22802 2370 2371 2373 2375 2376 23770 23771 23772 23773 23779 2379 2396 2592 7595 7596 |9hcc10:Lymphoma and Other Cancers
1960 1961 1962 1963 1965 1966 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1980 1981 1982 1983 1984 1985 1986 1987 19881 19882 19889 1990 20400 20401 20402 20500 20501 20502 20600 20601 20602 20700 20701 20702 20800 20801 20802 20970 20971 20972 20973 20974 20975 20979 |9hcc7
2384 23871 23877 23879 2820 2821 2822 2823 28243 28244 28245 28247 28249 2825 2827 2828 2829 2850 2862 2863 2864 28652 28653 28659 2866 2867 2869 2870 2871 2872 28730 28731 28732 28733 28739 2875 2878 2879 28981 28982 28984 |9hccrx48
23872 23873 23874 23875 28241 28242 28260 28261 28262 28263 28264 28268 28269 2830 28310 28311 28319 2832 2839 28401 28409 2842 28481 28489 2849 2860 2861 28952 5173 |9hcc44
23876 28983 |9hccrx46
24900 24901 25000 25001 25002 25003 V5867 |9hcc19:Diabetes without Complication
24910 24911 24920 24921 24930 24931 25010 25011 25012 25013 25020 25021 25022 25023 25030 25031 25032 25033 |9hcc17:Diabetes with Acute Complications
24940 24941 24970 24971 25040 25041 25042 25043 25070 25071 25072 25073 |9hcc15
24950 24951 24990 24991 25050 25051 25052 25053 25090 25091 25092 25093 |9hcc18:Diabetes with Chronic Complications
24960 24961 24980 24981 25060 25061 25062 25063 25080 25081 25082 25083 |9hcc16
260 261 262 2630 2631 2632 2638 2639 7994 |9hcc21:Protein-Calorie Malnutrition
27700 27701 27702 27703 27709 |9hcc107:Vascular Disease with Complications
27801 27803 V8541 V8542 V8543 V8544 V8545 |9hccrx22
27900 27901 27902 27903 27904 27905 27906 27909 27910 27911 27912 27913 27919 2792 2793 27941 27949 27950 27951 27952 27953 2798 2799 28411 28412 28419 28800 28801 28802 28803 28804 28809 2881 2882 2884 |9hcc45
2910 2911 2912 2913 2914 2915 29181 29182 29189 2919 2920 29211 29212 2922 29281 29282 29283 29284 29285 29289 2929 |9hcc51
29500 29501 29502 29503 29504 29505 29510 29511 29512 29513 29514 29515 29520 29521 29522 29523 29524 29525 29530 29531 29532 29533 29534 29535 29540 29541 29542 29543 29544 29545 29550 29551 29552 29553 29554 29555 29560 29561 29562 29563 29564 29565 29570 29571 29572 29573 29574 29575 29580 29581 29582 29583 29584 29585 29590 29591 29592 29593 29594 29595 |9hcc54:Drug/Alcohol Psychosis
29600 29601 29602 29603 29604 29605 29606 29610 29611 29612 29613 29614 29615 29616 29620 29621 29622 29623 29624 29625 29626 29630 29631 29632 29633 29634 29635 29636 29640 29641 29642 29643 29644 29645 29646 29650 29651 29652 29653 29654 29655 29656 29660 29661 29662 29663 29664 29665 29666 2967 29680 29681 29682 29689 29690 29699 2970 2971 2972 2973 2978 2979 E9500 E9501 E9502 E9503 E9504 E9505 E9506 E9507 E9508 E9509 E9510 E9511 E9518 E9520 E9521 E9528 E9529 E9530 E9531 E9538 E9539 E954 E9550 E9551 E9552 E9553 E9554 E9555 E9556 E9557 E9559 E956 E9570 E9571 E9572 E9579 E9580 E9581 E9582 E9583 E9584 E9585 E9586 E9587 E9588 E9589 E959 |9hcc55:Drug/Alcohol Dependence
30300 30301 30302 30303 30390 30391 30392 30393 30400 30401 30402 30403 30410 30411 30412 30413 30420 30421 30422 30423 30430 30431 30432 30433 30440 30441 30442 30443 30450 30451 30452 30453 30460 30461 30462 30463 30470 30471 30472 30473 30480 30481 30482 30483 30490 30491 30492 30493 |9hcc52
3320 3321 3330 3334 |9hcc73
33371 3433 3438 3439 3442 34430 34431 34432 34440 34441 34442 3445 34489 3449 43830 43831 43832 43840 43841 43842 43850 43851 43852 43853 |9hcc101
3340 3341 3342 3343 3344 3348 3349 3360 3361 3362 3363 3368 3369 34460 34461 7400 7401 7402 74100 74101 74102 74103 74190 74191 74192 74193 7420 7421 7422 7423 7424 74251 74253 74259 7428 7429 80600 80602 80603 80604 80605 80607 80608 80609 80610 80612 80613 80614 80615 80617 80618 80619 80620 80622 80623 80624 80625 80627 80628 80629 80630 80632 80633 80634 80635 80637 80638 80639 8064 8065 80660 80661 80662 80669 80670 80671 80672 80679 8068 8069 9072 95200 95202 95203 95204 95205 95207 95208 95209 95210 95212 95213 95214 95215 95217 95218 95219 9522 9523 9524 9528 9529 |9hcc69
3350 33510 33511 33519 33520 33521 33522 33523 33524 33529 3358 3359 3432 34400 34401 34402 34403 34404 34409 34481 78072 80601 80606 80611 80616 95201 95206 |9hcc67
33700 33709 3371 33720 33721 33722 33729 3373 3379 3560 3561 3562 3563 3564 3568 3569 3570 3571 3572 3573 3574 3575 3576 3577 35781 35782 35789 3579 35800 35801 3581 3582 35830 35831 35839 3588 3589 35922 35923 35924 35929 3593 3594 3595 3596 35971 35979 35981 35989 3599 |9hcc71:Paraplegia
340 3410 3411 3418 3419 |9hcc72:Spinal Cord Disorders/Injuries
34200 34201 34202 34210 34211 34212 34280 34281 34282 34290 34291 34292 3431 3434 43820 43821 43822 |9hcc100:Ischemic or Unspecified Stroke
3430 3441 80621 80626 80631 80636 95211 95216 |9hcc68
34500 34501 34510 34511 3452 3453 34540 34541 34550 34551 34560 34561 34570 34571 34580 34581 34590 34591 78031 78032 78033 78039 |9hcc74:Cerebral Palsy
3481 3484 3485 78001 78003 |9hcc75:Myasthenia Gravis/Myoneural Disorders,  Inflammatory and Toxic Neuropathy
3491 59681 59682 59683 62931 9580 9581 9582 9583 9584 9585 9586 9587 9588 95890 95891 95892 95893 95899 99600 99601 99602 99603 99604 99609 9961 9962 99630 99631 99632 99639 99640 99641 99642 99643 99644 99645 99646 99647 99649 99651 99652 99653 99654 99655 99657 99659 99660 99661 99662 99663 99664 99665 99666 99667 99669 99670 99671 99672 99674 99675 99676 99677 99678 99679 99700 99701 99702 99709 9971 9972 99731 99732 99739 99749 9975 99771 99772 99779 99800 99809 9986 |9hcc164
3536 9059 99760 99761 99762 99769 V4970 V4971 V4972 V4973 V4974 V4975 V4976 V4977 V521 |9hcc177
3590 3591 35921 |9hcc70:Quadriplegia
36201 36203 36204 36205 36206 36207 36641 |9hccrx18
36202 37923 |9hcc119
36252 |9hccrx124
39891 |9hccrx85
40201 40211 40291 40401 40411 40491 4150 4160 4161 4168 4169 4170 4171 4178 4179 4250 42511 42518 4252 4253 4254 4255 4257 4258 4259 4280 4281 42820 42821 42822 42823 42830 42831 42832 42833 42840 42841 42842 42843 4289 4290 4291 |9hcc80:Coma, Brain Compression/Anoxic Damage
40301 40311 40391 40402 40403 40412 40413 40492 40493 5845 5846 5847 5848 5849 5851 5852 5853 5854 5855 5856 5859 586 75314 |9hcc131
41000 41002 41010 41012 41020 41022 41030 41032 41040 41042 41050 41052 41060 41062 41070 41072 41080 41082 41090 41092 4110 4111 41181 41189 |9hcc82:Respirator Dependence/Tracheostomy Status
41001 41011 41021 41031 41041 41051 41061 41071 41081 41091 4295 4296 |9hcc81
412 4130 4131 4139 |9hcc83:Respiratory Arrest
4260 4270 4271 4272 42731 42732 42781 |9hcc92
42741 42742 4275 5184 51851 51852 51853 51881 51882 51883 51884 78550 78551 7980 7981 7982 7989 79901 79902 99801 |9hcc79:Seizure Disorders and Convulsions
43301 43311 43321 43331 43381 43391 43401 43411 43491 436 |9hcc96:Specified Heart Arrhythmias
4400 4401 44020 44021 44022 44029 44030 44031 44032 4404 4412 4414 4417 4419 4420 4421 4422 4423 44281 44282 44283 44284 44289 4429 4431 44381 44382 44389 4439 4470 4471 4472 4473 4474 4475 4476 44770 44771 44772 44773 4478 4479 4480 45111 45119 45181 45183 4530 4532 4533 45340 45341 45342 45350 45351 45352 45372 45374 45375 45376 45377 45382 45384 45385 45386 45387 5571 5579 |9hcc105
4540 4542 45911 45913 45931 45933 |9hccrx107
4560 4561 45620 45621 5722 5723 5724 5728 5735 |9hcc25
4820 4821 48240 48241 48242 48249 48281 48282 48283 48284 48289 5070 5071 5078 |9hcc111:Chronic Obstructive Pulmonary Disease
4910 4911 49120 49121 49122 4918 4919 4920 4928 49320 49321 49322 496 5181 5182 |9hcc108:Vascular Disease
51900 51901 51902 51909 V440 V4611 V4612 V4613 V4614 V550 |9hcc77:Multiple Sclerosis
53086 53087 53640 53641 53642 53649 56960 56961 56962 56969 56971 56979 V441 V442 V443 V444 V4450 V4451 V4452 V4459 V446 V448 V449 V551 V552 V553 V554 V555 V556 V558 V559 |9hcc176:Complications of Specified Implanted Device or Graft
5550 5551 5552 5559 5560 5561 5562 5563 5564 5565 5566 5568 5569 |9hcc33:Intestinal Obstruction/Perforation
5712 5713 5715 5716 |9hcc26
69513 69514 69515 |9hccrx162
70700 70701 70702 70703 70704 70705 70706 70707 70709 70720 70721 70722 70723 70724 70725 |9hcc148
70710 70711 70712 70713 70714 70715 70719 7078 7079 |9hcc149
73313 80500 80501 80502 80503 80504 80505 80506 80507 80508 80510 80511 80512 80513 80514 80515 80516 80517 80518 8052 8053 8054 8055 8056 8057 8058 8059 |9hcc157:Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone
73314 73315 8080 8081 8082 8083 80841 80842 80843 80844 80849 80851 80852 80853 80854 80859 8088 8089 82000 82001 82002 82003 82009 82010 82011 82012 82013 82019 82020 82021 82022 82030 82031 82032 8208 8209 82100 82101 82110 82111 82120 82121 82122 82123 82129 82130 82131 82132 82133 82139 83500 83501 83502 83503 83510 83511 83512 83513 |9hcc158:Pressure Ulcer of Skin with Full Thickness Skin Loss
7991 |9hcc78:Parkinson's and Huntington's Diseases
80000 80001 80002 80006 80009 80010 80011 80012 80016 80019 80020 80021 80022 80026 80029 80030 80031 80032 80036 80039 80040 80041 80042 80046 80049 80050 80051 80052 80056 80059 80060 80061 80062 80066 80069 80070 80071 80072 80076 80079 80080 80081 80082 80086 80089 80090 80091 80092 80096 80099 80100 80101 80102 80106 80109 80110 80111 80112 80116 80119 80120 80121 80122 80126 80129 80130 80131 80132 80136 80139 80140 80141 80142 80146 80149 80150 80151 80152 80156 80159 80160 80161 80162 80166 80169 80170 80171 80172 80176 80179 80180 80181 80182 80186 80189 80190 80191 80192 80196 80199 80220 80221 80222 80223 80224 80225 80226 80227 80228 80229 80230 80231 80232 80233 80234 80235 80236 80237 80238 80239 8024 8025 8026 8027 8028 8029 80300 80301 80302 80306 80309 80310 80311 80312 80316 80319 80320 80321 80322 80326 80329 80330 80331 80332 80336 80339 80340 80341 80342 80346 80349 80350 80351 80352 80356 80359 80360 80361 80362 80366 80369 80370 80371 80372 80376 80379 80380 80381 80382 80386 80389 80390 80391 80392 80396 80399 80400 80401 80402 80406 80409 80410 80411 80412 80416 80419 80420 80421 80422 80426 80429 80430 80431 80432 80436 80439 80440 80441 80442 80446 80449 80450 80451 80452 80456 80459 80460 80461 80462 80466 80469 80470 80471 80472 80476 80479 80480 80481 80482 80486 80489 80490 80491 80492 80496 80499 8502 8503 8504 85100 85101 85102 85106 85109 85110 85111 85112 85116 85119 85120 85121 85122 85126 85129 85130 85131 85132 85136 85139 85140 85141 85142 85146 85149 85150 85151 85152 85156 85159 85160 85161 85162 85166 85169 85170 85171 85172 85176 85179 85180 85181 85182 85186 85189 85190 85191 85192 85196 85199 85200 85201 85202 85206 85209 85210 85211 85212 85216 85219 85220 85221 85222 85226 85229 85230 85231 85232 85236 85239 85240 85241 85242 85246 85249 85250 85251 85252 85256 85259 85300 85301 85302 85306 85309 85310 85311 85312 85316 85319 85400 85401 85402 85406 85409 85410 85411 85412 85416 85419 9050 9070 |9hcc155
80003 80004 80005 80013 80014 80015 80023 80024 80025 80033 80034 80035 80043 80044 80045 80053 80054 80055 80063 80064 80065 80073 80074 80075 80083 80084 80085 80093 80094 80095 80103 80104 80105 80113 80114 80115 80123 80124 80125 80133 80134 80135 80143 80144 80145 80153 80154 80155 80163 80164 80165 80173 80174 80175 80183 80184 80185 80193 80194 80195 80303 80304 80305 80313 80314 80315 80323 80324 80325 80333 80334 80335 80343 80344 80345 80353 80354 80355 80363 80364 80365 80373 80374 80375 80383 80384 80385 80393 80394 80395 80403 80404 80405 80413 80414 80415 80423 80424 80425 80433 80434 80435 80443 80444 80445 80453 80454 80455 80463 80464 80465 80473 80474 80475 80483 80484 80485 80493 80494 80495 85103 85104 85105 85113 85114 85115 85123 85124 85125 85133 85134 85135 85143 85144 85145 85153 85154 85155 85163 85164 85165 85173 85174 85175 85183 85184 85185 85193 85194 85195 85203 85204 85205 85213 85214 85215 85223 85224 85225 85233 85234 85235 85243 85244 85245 85253 85254 85255 85303 85304 85305 85313 85314 85315 85403 85404 85405 85413 85414 85415 |9hcc154
8870 8871 8872 8873 8874 8875 8876 8877 8950 8951 8960 8961 8962 8963 8970 8971 8972 8973 8974 8975 8976 8977 99690 99691 99692 99693 99694 99695 99696 99699 |9hcc161:Chronic Ulcer of Skin, Except Pressure
94811 94821 94822 94831 94832 94833 94841 94842 94843 94844 94851 94852 94853 94854 94855 94861 94862 94863 94864 94865 94866 94871 94872 94873 94874 94875 94876 94877 94881 94882 94883 94884 94885 94886 94887 94888 94891 94892 94893 94894 94895 94896 94897 94898 94899 |9hcc150
99590 99591 99592 99593 99594 |9hccrx2
99656 99668 99673 V4511 V4512 V560 V561 V562 V5631 V5632 V568 |9hcc130
99682 99683 99684 99685 99686 99687 99688 V421 V426 V427 V4281 V4282 V4283 V4284 V4321 V4322 |9hcc174
